Trial,Time,% in 1,% in 2,% in 3,% in 4,start,end
1,0.0-100.0,0.0,0.0,0.0,0.0,0.0,100.0
1,100.0-200.0,0.0,0.0,0.0,0.0,100.0,200.0
1,200.0-300.0,0.0,0.0,0.0,0.0,200.0,300.0
1,300.0-400.0,0.0,0.0,0.0,0.0,300.0,400.0
1,400.0-500.0,0.0,0.0,0.0,0.0,400.0,500.0
1,500.0-600.0,0.0,0.0,0.0,0.0,500.0,600.0
1,600.0-700.0,0.0,0.0,0.0,0.0,600.0,700.0
1,700.0-800.0,0.0,0.0,0.0,0.0,700.0,800.0
1,800.0-900.0,0.0,0.0,66.0,0.0,800.0,900.0
1,900.0-1000.0,0.0,0.0,100.0,0.0,900.0,1000.0
1,1000.0-1100.0,0.0,0.0,62.0,0.0,1000.0,1100.0
1,1100.0-1200.0,0.0,0.0,0.0,0.0,1100.0,1200.0
1,1200.0-1300.0,41.0,0.0,0.0,0.0,1200.0,1300.0
1,1300.0-1400.0,100.0,0.0,0.0,0.0,1300.0,1400.0
1,1400.0-1500.0,100.0,0.0,0.0,0.0,1400.0,1500.0
1,1500.0-1600.0,67.0,0.0,0.0,0.0,1500.0,1600.0
1,1600.0-1700.0,61.0,0.0,0.0,0.0,1600.0,1700.0
1,1700.0-1800.0,100.0,0.0,0.0,0.0,1700.0,1800.0
1,1800.0-1900.0,100.0,0.0,32.0,0.0,1800.0,1900.0
1,1900.0-2000.0,14.0,0.0,140.0,0.0,1900.0,2000.0
1,2000.0-2100.0,0.0,0.0,167.0,0.0,2000.0,2100.0
1,2100.0-2200.0,0.0,0.0,100.0,0.0,2100.0,2200.0
1,2200.0-2300.0,0.0,0.0,67.0,0.0,2200.0,2300.0
1,2300.0-2400.0,0.0,0.0,100.0,0.0,2300.0,2400.0
1,2400.0-2500.0,27.0,0.0,52.0,0.0,2400.0,2500.0
1,2500.0-2600.0,67.0,0.0,100.0,0.0,2500.0,2600.0
1,2600.0-2700.0,100.0,0.0,81.0,0.0,2600.0,2700.0
1,2700.0-2800.0,100.0,70.0,0.0,0.0,2700.0,2800.0
1,2800.0-2900.0,74.0,37.0,0.0,1.0,2800.0,2900.0
1,2900.0-3000.0,100.0,0.0,0.0,100.0,2900.0,3000.0
1,3000.0-3100.0,38.0,0.0,0.0,100.0,3000.0,3100.0
1,3100.0-3200.0,0.0,0.0,0.0,100.0,3100.0,3200.0
1,3200.0-3300.0,0.0,0.0,0.0,98.0,3200.0,3300.0
1,3300.0-3400.0,0.0,0.0,0.0,197.0,3300.0,3400.0
1,3400.0-3500.0,0.0,0.0,0.0,173.0,3400.0,3500.0
1,3500.0-3600.0,0.0,84.0,0.0,98.0,3500.0,3600.0
1,3600.0-3700.0,0.0,100.0,5.0,0.0,3600.0,3700.0
1,3700.0-3800.0,0.0,100.0,100.0,0.0,3700.0,3800.0
1,3800.0-3900.0,0.0,100.0,78.0,0.0,3800.0,3900.0
1,3900.0-4000.0,0.0,77.0,0.0,0.0,3900.0,4000.0
1,4000.0-4100.0,0.0,98.0,0.0,0.0,4000.0,4100.0
1,4100.0-4200.0,0.0,100.0,0.0,0.0,4100.0,4200.0
1,4200.0-4300.0,0.0,100.0,0.0,0.0,4200.0,4300.0
1,4300.0-4400.0,0.0,100.0,0.0,0.0,4300.0,4400.0
1,4400.0-4500.0,0.0,100.0,0.0,0.0,4400.0,4500.0
1,4500.0-4600.0,0.0,100.0,0.0,0.0,4500.0,4600.0
1,4600.0-4700.0,0.0,90.0,0.0,0.0,4600.0,4700.0
1,4700.0-4800.0,0.0,0.0,0.0,0.0,4700.0,4800.0
1,4800.0-4900.0,0.0,0.0,0.0,0.0,4800.0,4900.0
1,4900.0-5000.0,0.0,0.0,0.0,0.0,4900.0,5000.0
1,5000.0-5100.0,0.0,0.0,0.0,0.0,5000.0,5100.0
2,0.0-100.0,0.0,0.0,0.0,0.0,0.0,100.0
2,100.0-200.0,0.0,0.0,0.0,0.0,100.0,200.0
2,200.0-300.0,0.0,0.0,0.0,0.0,200.0,300.0
2,300.0-400.0,0.0,0.0,0.0,0.0,300.0,400.0
2,400.0-500.0,100.0,0.0,0.0,0.0,400.0,500.0
2,500.0-600.0,100.0,0.0,0.0,0.0,500.0,600.0
2,600.0-700.0,100.0,0.0,0.0,0.0,600.0,700.0
2,700.0-800.0,22.0,0.0,55.0,0.0,700.0,800.0
2,800.0-900.0,0.0,0.0,100.0,0.0,800.0,900.0
2,900.0-1000.0,0.0,0.0,100.0,0.0,900.0,1000.0
2,1000.0-1100.0,0.0,0.0,100.0,0.0,1000.0,1100.0
2,1100.0-1200.0,0.0,0.0,100.0,0.0,1100.0,1200.0
2,1200.0-1300.0,104.0,0.0,14.0,0.0,1200.0,1300.0
2,1300.0-1400.0,164.0,0.0,0.0,0.0,1300.0,1400.0
2,1400.0-1500.0,185.0,0.0,0.0,0.0,1400.0,1500.0
2,1500.0-1600.0,181.0,0.0,0.0,0.0,1500.0,1600.0
2,1600.0-1700.0,174.0,0.0,0.0,0.0,1600.0,1700.0
2,1700.0-1800.0,194.0,0.0,0.0,0.0,1700.0,1800.0
2,1800.0-1900.0,187.0,0.0,0.0,0.0,1800.0,1900.0
2,1900.0-2000.0,176.0,0.0,0.0,0.0,1900.0,2000.0
2,2000.0-2100.0,100.0,0.0,54.0,0.0,2000.0,2100.0
2,2100.0-2200.0,100.0,0.0,100.0,0.0,2100.0,2200.0
2,2200.0-2300.0,100.0,0.0,83.0,0.0,2200.0,2300.0
2,2300.0-2400.0,100.0,0.0,97.0,0.0,2300.0,2400.0
2,2400.0-2500.0,100.0,0.0,66.0,0.0,2400.0,2500.0
